shuffle,test_unit,model_idx,model_unit,mouse,date,step,labels_this_video,total_labels,median_frame_rmse_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,frac_points_conf_ge_0.6,median_pupil_top_px,median_pupil_bottom_px,median_pupil_left_px,median_pupil_right_px,median_eyelid_top_px,median_eyelid_bottom_px,median_eye_nasal_corner_px,median_eye_temporal_corner_px
225,1_20251031_Pluto_spont_1,9.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,5.0,100.0,200.0,10.94,19.28,0.0,0.89,9.85,5.14,12.47,3.24,7.62,5.39,12.23,10.63
225,2_20251031_pluton2,9.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,5.0,100.0,200.0,9.99,46.27,0.1,0.748,20.02,0.0,0.0,0.0,7.07,0.0,0.0,4.66
225,3_20251031_pluto3,9.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,5.0,100.0,200.0,8.84,18.63,0.02,0.656,17.95,3.7,4.54,1.93,4.12,4.07,2.33,3.37
216,0_first5minvedio,10.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,6.0,120.0,220.0,12.22,18.77,0.0,0.902,12.44,4.51,7.77,5.86,12.84,5.54,17.43,10.39
216,1_20251031_Pluto_spont_1,10.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,6.0,120.0,220.0,11.7,18.43,0.0,0.948,10.72,5.63,12.05,3.4,7.39,5.79,11.32,12.69
216,2_20251031_pluton2,10.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,6.0,120.0,220.0,9.07,38.71,0.06,0.748,16.2,2.03,3.29,3.05,6.93,1.62,2.96,5.91
216,3_20251031_pluto3,10.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,6.0,120.0,220.0,5.42,20.8,0.0,0.709,6.47,3.0,5.22,2.21,3.16,3.72,2.01,2.82
217,0_first5minvedio,11.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,7.0,140.0,240.0,12.26,18.38,0.0,0.93,12.5,4.36,8.07,4.42,12.42,5.4,16.71,12.16
217,1_20251031_Pluto_spont_1,11.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,7.0,140.0,240.0,12.09,18.66,0.0,0.887,9.38,5.98,12.09,3.48,7.72,7.97,12.23,11.75
217,2_20251031_pluton2,11.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,7.0,140.0,240.0,11.56,37.09,0.06,0.793,16.74,1.71,4.7,3.27,6.75,1.11,2.81,4.31
217,3_20251031_pluto3,11.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,7.0,140.0,240.0,13.45,17.42,0.04,0.716,30.26,3.1,4.08,2.0,6.79,2.95,2.67,4.43
321,0_first5minvedio,12.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,1.0,20.0,220.0,11.89,18.11,0.0,0.942,10.82,4.74,8.23,4.86,12.18,4.7,16.12,10.27
321,1_20251031_Pluto_spont_1,12.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,1.0,20.0,220.0,11.89,19.57,0.02,0.927,8.05,6.31,13.27,3.73,7.9,5.31,12.68,11.33
321,2_20251031_pluton2,12.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,1.0,20.0,220.0,7.73,26.37,0.08,0.851,18.26,1.46,3.72,2.71,5.58,1.29,3.16,5.21
321,3_20251031_pluto3,12.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,1.0,20.0,220.0,4.67,12.5,0.0,0.842,4.6,2.94,3.49,1.53,1.52,3.19,1.35,3.16
322,0_first5minvedio,13.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,2.0,40.0,240.0,12.38,17.69,0.0,0.977,11.55,4.73,8.65,4.82,11.66,5.65,15.89,11.21
322,1_20251031_Pluto_spont_1,13.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,2.0,40.0,240.0,11.57,19.97,0.02,0.95,9.88,5.09,11.18,3.39,7.19,5.22,13.21,12.16
322,2_20251031_pluton2,13.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,2.0,40.0,240.0,7.57,25.06,0.02,0.887,13.97,1.71,2.97,3.11,4.85,1.06,4.05,4.55
322,3_20251031_pluto3,13.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,2.0,40.0,240.0,1.86,6.11,0.0,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,0_first5minvedio,14.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,3.0,60.0,260.0,12.32,17.8,0.0,0.952,12.09,4.43,8.73,4.72,12.2,5.27,16.68,10.01
323,1_20251031_Pluto_spont_1,14.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,3.0,60.0,260.0,11.58,20.13,0.0,0.963,8.41,6.78,12.71,3.77,6.82,6.72,12.5,13.35
323,2_20251031_pluton2,14.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,3.0,60.0,260.0,7.83,22.76,0.08,0.897,10.24,2.14,3.39,3.29,5.13,0.99,4.41,4.94
323,3_20251031_pluto3,14.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,3.0,60.0,260.0,4.43,23.23,0.0,0.887,4.41,2.97,3.36,1.65,1.6,4.18,1.69,1.93
324,0_first5minvedio,15.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,4.0,80.0,280.0,12.29,17.76,0.0,0.98,12.59,4.46,8.03,5.45,12.33,6.19,15.59,10.03
